,image,proposed manus
86,P69-Fg064-R-C02-R01-D28122015-T095007-LR445 _PSC,"['4Q30', '4Q531', '4Q306', '4Q30', '4Q197', '4Q543', '4Q401', '4Q286', '11Q15', '4Q560', '4Q172', '4Q392', '4Q170', '4Q542', '4Q531', '4Q33', '4Q284', '4Q263', '4Q158', '4Q177']"
87,P43-Fg043-R-C08-R01-D01122015-T163543-LR445 _PSC,"['4Q292', '4Q418', '11Q18', '4Q299', '4Q23', '4Q34', '4Q422', '4Q299', '4Q57', '4Q57', '4Q221', '4Q418', '4Q42', '4Q420', '4Q417', '4Q299', '4Q418', '11Q18', '4Q460', '4Q57']"
88,P95-Fg003-R-C01-R01-D05072015-T095548-LR445 _PSC,"['4Q365', '4Q525', '4Q23', '4Q346', '11Q10', '4Q85', '4Q113', '4Q27', '2Q1', '4Q418', '4Q9', '4Q364', '4Q364', '4Q161', '4Q522', '1Q8', '4Q460', '4Q216', '4Q365', '4Q270']"
89,P43-Fg073-R-C01-R01-D06122015-T114458-LR445 _PSC,"['4Q422', '4Q365', '4Q269', '4Q9999', '4Q37', '4Q418', '4Q378', '4Q37', '4Q560', '4Q299', '4Q547', '4Q418', '4Q418', '4Q418', '4Q463', '4Q300', '4Q422', '4Q269', '4Q477', '4Q418']"
90,P74-Fg016-R-C01-R01-D06082015-T130234-LR445 _PSC,"['4Q172', '4Q197', '4Q197', '4Q164', '4Q562', '11Q7', '4Q525', '6Q15', '4Q543', '4Q379', '4Q508', '4Q578', '4Q202', '4Q418', '4Q524', '4Q525', '4Q551', '4Q27', '4Q286', '4Q57']"
91,P92-Fg046-R-C01-R01-D07052015-T171821-LR445 _PSC,"['4Q23', '11Q5', '4Q381', '4Q381', '1Q5', '4Q365', '4Q356', '4Q254', '4Q98', '4Q508', '4Q521', '4Q216', '11Q10', '4Q299', '4Q299', '2Q1', '4Q577', '4Q521', '4Q200', '4Q27']"
92,P7-Fg042-R-C01-R01-D29032016-T151238-LR445 _PSC,"['6Q23', '4Q474', '4Q78', '4Q502', '4Q502', '4Q209', '4Q269', '4Q418', '4Q209', '4Q546', '4Q546', '4Q422', '4Q422', '4Q546', '4Q461', '6Q23', '4Q558', '6Q29', '4Q78', '4Q502']"
93,P90-Fg019-R-C01-R01-D26042015-T135551-LR445 _PSC,"['4Q531', '4Q30', '4Q89', '4Q531', '4Q170', '4Q164', '4Q433', '4Q197', '11Q17', '4Q299', '4Q30', '2Q1', '4Q521', '4Q470', '4Q531', '4Q23', '4Q284', '4Q270', '4Q286', '4Q287']"
94,P43-Fg037-R-C01-R01-D01122015-T141327-LR445 _PSC,"['4Q430', '4Q266', '4Q423', '4Q223', '4Q13', '4Q418', '4Q265', '4Q418', '4Q56', '4Q196', '6Q18', '4Q269', '4Q378', '4Q547', '4Q245', '4Q248', '4Q418', '4Q202', '4Q210', '4Q418']"
95,P7-Fg067-R-C01-R01-D30032016-T143932-LR445 _PSC,"['4Q491', '4Q209', '4Q221', '4Q425', '4Q118', '4Q502', '4Q196', '4Q418', '4Q322', 'Mas 1f', '4Q491', '4Q224', '4Q13', '4Q422', '4Q208', '4Q206', '4Q570', '4Q208', '4Q418', '4Q330']"
96,P68-Fg072-R-C01-R01-D08102015-T131110-LR445 _PSC,"['4Q37', '4Q418', '4Q540', '4Q491', '4Q422', '4Q418', '6Q18', '4Q418', '4Q418', '4Q23', '4Q502', '4Q55', '4Q209', '4Q391', '4Q223', '4Q224', '4Q221', '4Q78', '4Q69', '4Q502']"
97,P95-Fg041-R-C01-R01-D06072015-T112003-LR445 _PSC,"['4Q418', '4Q394', '4Q307', '4Q30', '4Q86', '4Q78', '4Q13', '4Q381', '4Q60', '4Q525', '4Q86', '4Q322', '4Q112', '4Q419', '4Q221', '4Q418', '4Q418', '4Q221', '4Q118', '4Q418']"
98,P79-Fg017-R-C01-R01-D23072014-T142728-LR445 _PSC,"['4Q256', '1Q5', '4Q221', '4Q221', '4Q418', '4Q78', '4Q525', '4Q60', '4Q112', '4Q530', '1Q5', '4Q221', '4Q418', '4Q561', '4Q400', '4Q47', '4Q51', '4Q418', '4Q413', '4Q418']"
99,P90-Fg040-R-C01-R01-D27042015-T103012-LR445 _PSC,"['4Q307', '4Q86', '4Q381', '4Q504', '4Q525', '4Q30', '4Q86', '4Q256', '4Q177', '4Q394', '4Q60', '4Q9999', '4Q418', '4Q418', '4Q418', '4Q400', '4Q418', '4Q322', '4Q221', '1Q5']"
100,P92-Fg001-R-C01-R01-D06052015-T133901-LR445 _PSC,"['4Q405', '4Q211', '4Q504', '4Q158', '4Q77', '4Q180', '4Q405', '4Q177', '4Q258', '4Q537', '4Q33', '4Q182', '4Q429', '4Q381', '4Q543', '4Q531', '4Q416', '4Q103', '4Q389', '4Q105']"
101,P94-Fg056-R-C01-R01-D11062015-T143602-LR445 _PSC,"['4Q429', '4Q182', '4Q364', '4Q111', '4Q51', '4Q364', '4Q429', '4Q254', '4Q51', '4Q167', '4Q364', '4Q51', '4Q81', '4Q99', '4Q211', '4Q27', '4Q76', '4Q426', '4Q537', '4Q270']"
102,P82-Fg085-R-C01-R01-D15102013-T095533-LR445 _ColorCalData_IAA_Left_CC110304_110702,"['4Q379', '4Q51', 'MUR59', '4Q282', '4Q434', '4Q423', '4Q418', '4Q167', '4Q379', '4Q537', '4Q382', '4Q525', '4Q547', '4Q374', '4Q458', '4Q458', '4Q51', '4Q266', '4Q266', '4Q418']"
103,P76-Fg034-R-C01-R01-D05082014-T145759-LR445 _PSC,"['4Q307', '4Q423', '4Q418', '4Q300', '4Q266', '4Q86', '4Q284', '4Q381', '4Q418', '4Q266', '4Q502', '4Q13', '4Q418', '4Q9999', '4Q80', '4Q265', '4Q504', '4Q265', '4Q177', '4Q223']"
104,P95-Fg075-R-C01-R01-D07072015-T131604-LR445 _PSC,"['4Q87', '4Q418', '4Q256', '4Q525', '4Q177', '11Q18', '1Q5', '1Q5', '4Q504', '4Q307', '2Q2', '4Q60', '4Q258', '4Q47', '2Q1', '4Q266', '4Q400', '4Q34', '4Q307', '11Q18']"
105,P90-Fg053-R-C01-R01-D28042015-T091655-LR445 _PSC,"['4Q504', '4Q177', '4Q258', '4Q177', '4Q256', '4Q87', '4Q307', '4Q112', '4Q537', '11Q18', '4Q418', '4Q525', '4Q9999', '4Q307', '4Q405', '4Q86', '1Q5', '4Q167', '4Q561', '4Q180']"
106,P90-Fg033-R-C01-R01-D27042015-T093324-LR445 _PSC,"['4Q284', '4Q9999', '4Q405', '4Q86', '4Q103', '4Q300', '4Q504', '4Q270', '4Q543', '4Q416', '4Q543', '4Q177', '4Q180', '4Q30', '4Q258', '4Q27', '4Q158', '4Q381', '4Q86', '4Q449']"
107,P92-Fg016-R-C01-R01-D07052015-T092408-LR445 _PSC,"['4Q525', '4Q38', '1Q5', '4Q256', '4Q30', '11Q18', '4Q418', '4Q418', '4Q60', '4Q307', '4Q504', '4Q112', '4Q491', '4Q177', '4Q7', '4Q78', '4Q418', '1Q5', '4Q103', '4Q437']"
108,P79-Fg061-R-C01-R01-D24072014-T140318-LR445 _PSC,"['4Q158', '4Q405', '4Q537', '4Q77', '4Q504', '4Q211', '4Q182', '4Q258', '4Q429', '4Q105', '4Q299', '4Q381', '4Q180', '4Q87', '4Q51', '4Q167', '4Q531', '4Q416', '4Q266', '4Q405']"
109,P92-Fg043-R-C01-R01-D07052015-T165411-LR445 _PSC,"['4Q158', '4Q105', '4Q77', '4Q537', '4Q211', '4Q504', '4Q429', '4Q405', '4Q258', '4Q182', '4Q299', '4Q99', '11Q17', '4Q180', '4Q51', '4Q87', '4Q286', '4Q551', '4Q364', '4Q33']"
110,P96-Fg021-R-C01-R01-D11082015-T114447-LR445 _PSC,"['4Q364', '4Q113', '4Q299', '4Q51', '4Q96', '4Q27', '4Q81', '4Q364', '4Q389', '4Q374', '4Q9', '4Q267', '4Q317', '4Q99', '4Q381', '4Q522', '4Q27', '4Q243', '4Q365', '4Q522']"
111,P69-Fg054-R-C02-R01-D27122015-T132324-LR445 _PSC,"['11Q18', '4Q388', '4Q561', '4Q38', '4Q112', '4Q256', '4Q525', '4Q177', 'Mas 1b', '4Q307', '1Q5', '4Q561', '4Q504', '4Q525', '4Q221', '4Q47', '4Q112', '4Q221', '4Q413', '4Q221']"
112,P7-Fg060-R-C01-R01-D30032016-T124743-LR445 _PSC,"['4Q221', '4Q88', '4Q546', '6Q7', '11Q14', '4Q78', '4Q78', '4Q546', '4Q299', '4Q176', '4Q378', '6Q9', '4Q78', '4Q208', '4Q221', '4Q260', '4Q51', '4Q418', '4Q78', '4Q461']"
113,P74-Fg052-R-C01-R01-D09082015-T125140-LR445 _PSC,"['4Q57', '4Q111', '4Q266', '4Q76', '4Q51', '4Q416', '4Q176', '4Q161', '4Q51', '4Q216', '4Q270', '4Q267', '4Q402', '4Q62', '4Q39', '4Q254', '4Q82', '11Q7', '4Q172', '4Q51']"
114,P70-Fg046-R-C01-R01-D08092016-T110337-LR445 _PSC,"['4Q82', '4Q82', '4Q401', '4Q438', '4Q471', '4Q23', '4Q388', '4Q27', '4Q33', '4Q30', '4Q77', '4Q306', '4Q421', '4Q433', '4Q364', '4Q57', '11Q5', 'MUR2', '4Q548', '11Q7']"
115,P8-Fg039-R-C01-R01-D23062015-T144603-LR445 _PSC,"['4Q196', '4Q208', '11Q25', '4Q553', '4Q208', '4Q553', '4Q48', 'MUR24', 'MUR41', '4Q418', '4Q418', '4Q418', '4Q163', '4Q418', '4Q214', '4Q541', '4Q382', '4Q382', '4Q502', '4Q196']"
116,P82-Fg036-R-C01-R01-D09102013-T111430-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q522', '4Q374', '4Q51', '4Q23', '4Q525', '4Q364', '4Q51', '3Q5', '4Q51', '4Q365', '4Q267', '4Q27', '4Q525', '4Q508', '4Q543', '4Q33', '4Q364', '4Q264a-110', '4Q33', '4Q33']"
117,P8-Fg053-R-C01-R01-D28062015-T095244-LR445 _PSC,"['4Q208', '4Q269', '4Q541', 'MUR41', '4Q418', '4Q196', '4Q196', '4Q553', '4Q223', '4Q265', '4Q196', '4Q208', '4Q391', '4Q502', '4Q391', '6Q16', '6Q18', '4Q382', '4Q502', '4Q224']"
118,P96-Fg039-R-C01-R01-D11082015-T143724-LR445 _PSC,"['4Q82', '4Q426', '4Q51', '4Q286', '4Q537', '4Q216', '4Q51', '4Q270', '4Q174', '4Q99', '8Q5', '4Q286', '4Q161', '4Q178', '4Q94', '4Q267', '4Q493', '4Q416', '4Q57', '4Q267']"
119,P70-Fg079-R-C01-R01-D11092016-T165624-LR445 _PSC,"['4Q51', '4Q284', '4Q426', '4Q324', '4Q161', '4Q537', '4Q416', '4Q39', '4Q531', '4Q405', '4Q216', '4Q270', '4Q82', '4Q57', '4Q51', '4Q266', '4Q543', '4Q33', '4Q82', '4Q174']"
120,P94-Fg075-R-C01-R01-D14062015-T134517-LR445 _PSC,"['11Q18', '4Q388', '4Q531', '4Q259', '4Q543', '4Q56', '4Q55', '4Q82', '4Q56', '4Q438', '4Q471', '4Q34', '11Q5', '4Q282', '4Q306', '4Q525', '4Q550', '4Q565', '4Q86', '11Q18']"
121,P8-Fg051-R-C01-R01-D23062015-T164606-LR445 _PSC,"['4Q273', '4Q391', '4Q208', '4Q502', '4Q502', '4Q224', '4Q498', '4Q391', '4Q196', '4Q208', '4Q382', '4Q558', '4Q382', '4Q273', '4Q502', '4Q502', '4Q196', '4Q502', '4Q502', '4Q224']"
122,P8-Fg026-R-C01-R01-D23062015-T124012-LR445 _PSC,"['4Q266', '4Q418', '4Q196', '4Q418', '4Q176', '4Q176', '4Q502', '6Q18', '4Q502', '4Q53', '6Q18', '4Q223', '4Q418', '4Q196', '4Q418', '6Q16', '4Q418', '4Q163', '4Q224', '4Q196']"
123,P43-Fg080-R-C01-R01-D06122015-T133711-LR445 _PSC,"['4Q479', '4Q209', '4Q26', '4Q418', '4Q282', '4Q47', '4Q244', '4Q301', '4Q418', '2Q21', '4Q202', '4Q173', '4Q418', '4Q418', '4Q176', '4Q209', '4Q418', '4Q383', '4Q258', '4Q200']"
124,P93-Fg043-R-C01-R01-D27052015-T131502-LR445 _PSC,"['4Q216', '4Q264a-110', '4Q27', '4Q23', '4Q23', '4Q23', '4Q418', '4Q51', '4Q543', '4Q87', '4Q418', '4Q23', '2Q21', '4Q209', '4Q51', '4Q206', '4Q51', '4Q54', '4Q58', '4Q381']"
125,P43-Fg079-R-C01-R01-D06122015-T132946-LR445 _PSC,"['4Q570', '4Q78', '4Q221', '4Q51', '4Q491', '4Q222', '4Q299', 'Mas 1n', '4Q261', '4Q78', '4Q378', '4Q463', '4Q330', '4Q381', '4Q27', '4Q299', '4Q37', '4Q242', '4Q78', '4Q423']"
126,P69-Fg049-R-C02-R01-D27122015-T101839-LR445 _PSC,"['4Q30', '4Q176', '4Q244', '4Q479', '11Q7', '4Q299', '4Q404', '4Q260', '4Q321a-190', '4Q204', '4Q436', '4Q525', '4Q83', '4Q301', '4Q418', '4Q260', '4Q51', '11Q17', '4Q550', '4Q57']"
127,P79-Fg053-R-C01-R01-D24072014-T130236-LR445 _PSC,"['4Q477', '4Q242', '4Q89', '2Q17', '4Q197', '4Q56', '4Q269', '4Q533', '4Q209', '4Q422', '4Q418', '4Q38c', '4Q402', '4Q89', '4Q582', '4Q204', '4Q301', '4Q74', '4Q538', '4Q269']"
128,P69-Fg035-R-C01-R01-D24122015-T124721-LR445 _PSC,"['4Q378', '4Q266', '4Q425', '4Q330', '4Q330', '4Q425', '4Q300', '4Q300', '4Q330', '4Q26', '4Q491', '4Q491', '4Q284', '4Q209', '4Q418', '4Q491', '4Q212', '4Q553', '4Q38', '4Q418']"
129,P74-Fg020-R-C01-R01-D06082015-T141443-LR445 _PSC,"['4Q381', '4Q164', '4Q57', '11Q6', '4Q18', '4Q531', '4Q23', '4Q524', '4Q71', '4Q299', '4Q111', '4Q27', '4Q402', '4Q266', '4Q454', '4Q161', '4Q51', '4Q410', '4Q508', '4Q381']"
130,P68-Fg021-R-C01-R01-D07102015-T094822-LR445 _PSC,"['4Q556', '4Q34', '4Q57', '4Q52', '4Q34', '4Q543', '4Q83', '4Q5', '4Q103', '4Q83', '4Q421', '4Q31', '4Q405', '4Q23', '4Q23', '4Q378', '4Q286', '4Q263', '4Q52', '4Q567']"
131,P82-Fg092-R-C01-R01-D15102013-T110216-LR445 _ColorCalData_IAA_Left_CC110304_110702,"['4Q58', '4Q18', '4Q200', '4Q508', '11Q13', '4Q51', '4Q161', '4Q381', '4Q381', '11Q13', '4Q379', '4Q206', '4Q57', '4Q27', '3Q11', '4Q365', '4Q52', '11Q6', '4Q238', '4Q356']"
132,P69-Fg044-R-C01-R01-D24122015-T140810-LR445 _PSC,"['4Q103', '4Q226', '4Q34', '4Q214', '4Q531', '4Q83', '4Q216', '4Q5', '4Q184', '4Q507', '4Q421', '4Q83', '4Q261', '4Q531', '4Q266', '4Q161', '11Q17', '4Q230', '4Q437', '4Q38']"
133,P95-Fg072-R-C01-R01-D07072015-T125141-LR445 _PSC,"['4Q57', '4Q89', '4Q275', '4Q78', '4Q543', '4Q159', '4Q206', '4Q286', '4Q160', '4Q177', '4Q584', '4Q423', '4Q381', '4Q57', '4Q266', '4Q19', '4Q226', '4Q203', '4Q56', '4Q265']"
134,P82-Fg091-R-C01-R01-D15102013-T105334-LR445 _ColorCalData_IAA_Left_CC110304_110702,"['4Q582', '4Q365', '4Q206', '4Q266', '4Q51', '4Q267', '4Q39', '4Q374', '4Q389', '4Q537', '4Q54', '4Q381', '4Q51', '4Q51', '4Q525', '4Q51', '4Q525', '4Q281', '4Q95', '4Q525']"
135,P76-Fg059-R-C01-R01-D06082014-T112156-LR445 _PSC,"['4Q203', '4Q158', '4Q57', '4Q450', '4Q261', '4Q286', '4Q57', '4Q275', '11Q17', '4Q383', '4Q284', '4Q26', '11Q17', '4Q543', '4Q57', '4Q214', '4Q58', '4Q172', '4Q103', '4Q58']"
136,P95-Fg025-R-C01-R01-D05072015-T153250-LR445 _PSC,"['4Q103', '11Q6', '4Q113', '4Q58', '4Q161', '4Q5', '4Q393', '4Q299', '4Q401', '4Q226', '4Q52', '4Q57', '4Q531', '4Q173', '4Q531', '4Q48', '4Q27', '4Q87', '4Q266', '4Q263']"
137,P7-Fg110-R-C01-R01-D04042016-T093437-LR445 _PSC,"['4Q558', '4Q422', '4Q502', '4Q546', '4Q461', '4Q491', '4Q196', '4Q572', '4Q474', '6Q26', '4Q546', '4Q422', '4Q502', '4Q502', '4Q558', '4Q558', '4Q78', 'MUR44', '4Q546', '4Q502']"
138,P8-Fg061-R-C01-R01-D28062015-T135303-LR445 _PSC,"['4Q382', '4Q541', '4Q208', '4Q502', '4Q382', '4Q382', '4Q382', '4Q196', '4Q502', '4Q398', '4Q273', '4Q208', '4Q391', '4Q196', '4Q502', '4Q196', '4Q196', '4Q382', '4Q502', '4Q196']"
139,P75-Fg056-R-C01-R01-D30072014-T135820-LR445 _PSC,"['4Q27', '4Q51', '4Q172', '4Q82', '4Q524', '4Q27', '4Q270', '4Q404', '4Q543', '4Q282', '4Q206', '4Q454', '4Q267', '4Q172', '4Q381', '4Q524', '4Q27', '4Q164', '4Q578', '4Q176']"
140,P78-Fg040-R-C01-R01-D20072014-T121732-LR445 _PSC,"['4Q530', '4Q103', '4Q52', '4Q34', '4Q226', '4Q5', '4Q437', '4Q438', '4Q531', '4Q184', '11Q6', '4Q393', 'Mas 1b', '4Q230', '4Q82', '4Q259', '4Q161', '4Q82', '4Q58', '4Q256']"
141,P82-Fg030-R-C01-R01-D09102013-T100328-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q267', '4Q58', '4Q282', '4Q51', '4Q51', '4Q51', '4Q381', '4Q206', '4Q261', '4Q508', '4Q54', '4Q521', '4Q51', '4Q51', '2Q13', '3Q11', '4Q51', '4Q176', '4Q266', '4Q266']"
142,P72-Fg046-R-C01-R01-D31082015-T105408-LR445 _PSC,"['4Q177', '4Q203', '4Q537', '4Q450', 'Mas 1', '11Q17', '4Q286', '4Q424', '4Q284', '4Q57', '4Q57', '4Q429', '4Q410', '4Q172', '4Q379', '4Q57', '4Q164', '4Q543', '4Q389', '4Q57']"
143,P43-Fg065-R-C01-R01-D03122015-T134236-LR445 _PSC,"['4Q418', '4Q26', '4Q30', '4Q418', '4Q55', 'WD32', '4Q299', '4Q51', '4Q299', '4Q417', '4Q30', '4Q380', '4Q55', '4Q221', '4Q415', '4Q299', '4Q42', '4Q60', '4Q299', '4Q220']"
144,P71-Fg006-R-C01-R01-D08092015-T145525-LR445 _PSC,"['4Q267', '4Q525', '4Q266', '4Q423', '4Q267', '4Q435', '4Q51', '4Q284a-679', '4Q267', '4Q385', '4Q286', '4Q379', '4Q379', '4Q267', '4Q51', '4Q379', '4Q267', '4Q266', '4Q54', '4Q266']"
145,P96-Fg083-R-C01-R01-D12082015-T155337-LR445 _PSC,"['4Q383', '4Q418', '4Q260', '4Q230', '4Q418', '4Q266', '4Q418', '4Q388', '4Q174', '4Q299', '4Q9999', '4Q51', '4Q86', '4Q462', '4Q55', '4Q530', '4Q37', '4Q112', '4Q173', '4Q418']"
146,P96-Fg024-R-C01-R01-D11082015-T120722-LR445 _PSC,"['4Q23', '4Q299', '4Q216', '4Q254', '4Q270', '6Q11', '1Q8', '4Q551', '4Q27', '1Q8', '4Q51', '4Q57', '4Q264a-110', '2Q1', '4Q270', '4Q27', '2Q21', '4Q418', '4Q108', '4Q418']"
147,P7-Fg087-R-C01-R01-D03042016-T120149-LR445 _PSC,"['4Q558', '4Q382', '4Q196', '4Q208', '4Q208', '4Q502', '4Q391', '4Q382', '4Q558', '4Q382', '4Q208', '4Q391', '4Q382', '4Q196', '4Q502', '4Q224', '4Q432', '4Q382', '4Q391', '4Q398']"
148,P93-Fg066-R-C01-R01-D28052015-T093810-LR445 _PSC,"['4Q57', '4Q299', '4Q402', '4Q174', '4Q418', '4Q404', '4Q173', '4Q388', '4Q161', '4Q266', '4Q57', '4Q462', '4Q177', '4Q307', '11Q17', '4Q418', '4Q418', '4Q57', '4Q555', '4Q383']"
149,P7-Fg123-R-C01-R01-D04042016-T123734-LR445 _PSC,"['4Q196', '4Q196', '4Q502', '4Q498', '4Q224', '4Q196', '4Q432', '4Q382', '4Q498', '4Q502', '6Q7', '4Q382', '4Q382', '4Q223', '4Q502', '4Q223', '4Q223', '4Q391', '4Q223', '4Q382']"
150,P7-Fg011-R-C01-R01-D28032016-T142455-LR445 _PSC,"['MUR44', '4Q196', '4Q502', '4Q546', '4Q502', '6Q26', '4Q461', '4Q474', '4Q196', '6Q26', '4Q546', '4Q382', '4Q196', '4Q502', '4Q558', 'MUR48', '6Q9', '4Q78', 'MUR41', '4Q422']"
151,P79-Fg066-R-C01-R01-D24072014-T143807-LR445 _PSC,"['4Q404', '4Q365', '4Q77', '4Q555', '4Q33', '4Q299', '4Q42', '4Q543', '4Q23', '4Q543', '4Q204', '4Q524', '4Q388', '4Q161', '4Q82', '4Q301', '4Q408', '4Q321a-190', '4Q57', '4Q172']"
152,P91-Fg051-R-C01-R01-D30032015-T144957-LR445 _PSC,"['4Q266', '4Q112', '4Q525', '4Q388', '4Q174', '4Q73', '4Q86', '4Q550', '4Q103', '4Q60', '4Q418', '4Q230', '4Q383', '2Q4', '4Q9999', '4Q491', '11Q18', '4Q266', '4Q230', '4Q27']"
153,P75-Fg045-R-C01-R01-D30072014-T121213-LR445 _PSC,"['4Q128', 'Mas 1j', '4Q364', '4Q57', '4Q94', '4Q269', '4Q418', '4Q411', '4Q57', '4Q209', '4Q543', '4Q214', '4Q158', '4Q266', '4Q410', '4Q418', '4Q400', '4Q156', '4Q98', '11Q25']"
154,P75-Fg017-R-C01-R01-D29072014-T144014-LR445 _PSC,"['4Q42', '4Q77', '4Q365', '4Q252', '4Q404', '4Q543', '4Q180', '4Q388', '4Q555', '4Q450', '4Q321a-190', '4Q270', '4Q204', '4Q286', '4Q161', '4Q531', '4Q537', '4Q51', '4Q266', '4Q421']"
155,P72-Fg029-R-C01-R01-D30082015-T140735-LR445 _PSC,"['4Q270', '4Q112', '4Q23', '4Q418', '4Q243', '4Q537', '4Q477', '4Q167', '4Q213a', '4Q266', '4Q57', '4Q525', '4Q38', '4Q59', '4Q42', '4Q51', '4Q418', '4Q537', '4Q392', '4Q252']"
156,P43-Fg057-R-C01-R01-D03122015-T121236-LR445 _PSC,"['4Q30', '4Q418', '4Q78', '4Q409', '4Q253', '4Q418', '4Q418', '4Q269', '4Q176', '4Q176', '4Q418', '4Q418', '4Q418', '4Q37', '4Q380', '4Q418', '4Q202', '4Q553', '4Q418', '4Q176']"
157,P72-Fg017-R-C01-R01-D30082015-T122729-LR445 _PSC,"['4Q51', '4Q543', '4Q27', '4Q51', '4Q27', '4Q254', '4Q23', '4Q525', '4Q551', '4Q270', '4Q267', '4Q270', '4Q267', '4Q44', '4Q267', '4Q299', '4Q27', '4Q281', '4Q51', '4Q267']"
158,P73-Fg041-R-C01-R01-D23082015-T091528-LR445 _PSC,"['4Q177', '4Q551', '4Q57', '4Q418', '4Q44', '4Q80', '4Q173', '4Q58', '4Q158', '4Q51', '6Q11', '4Q27', '4Q267', '4Q51', '4Q51', '4Q80', '4Q543', '4Q538', '4Q58', '4Q57']"
159,P96-Fg028-R-C01-R01-D11082015-T130648-LR445 _PSC,"['4Q388', '4Q86', '4Q550', '4Q112', '4Q266', '4Q530', '11Q18', '4Q256', '11Q17', '4Q9999', '11Q6', '4Q282', '4Q60', '4Q174', '4Q82', '4Q404', '4Q381', '4Q177', '4Q73', '4Q259']"
160,P96-Fg029-R-C01-R01-D11082015-T131535-LR445 _PSC,"['4Q266', '4Q299', '4Q18', '4Q454', '4Q504', '4Q23', '4Q263', '4Q531', '4Q401', '4Q77', '4Q172', '4Q51', '4Q537', '4Q410', '4Q364', '4Q161', '4Q160', '4Q252', '4Q364', '2Q4']"
161,P8-Fg078-R-C01-R01-D29062015-T112442-LR445 _PSC,"['4Q382', 'Mas 1f', '4Q382', '4Q391', '4Q208', '4Q502', '4Q541', '4Q163', '4Q208', '4Q382', '4Q502', '4Q196', '4Q196', '4Q382', '4Q382', '4Q558', 'Mas 1f', '4Q502', '4Q398', '4Q223']"
162,P71-Fg028-R-C01-R01-D09092015-T121938-LR445 _PSC,"['4Q389', '4Q299', '4Q379', '4Q261', '1Q29', '4Q507', '1Q29', '4Q226', '4Q72', '4Q321', '4Q286', '4Q504', '2Q24', '2Q23', '1Q28b-664', '4Q56', '4Q423', '4Q287', '4Q282', '4Q208']"
163,P78-Fg048-R-C01-R01-D20072014-T132057-LR445 _PSC,"['4Q524', '4Q404', '4Q423', '4Q524', '4Q525', '4Q299', '4Q423', '4Q381', '4Q39', '4Q418', '4Q176', '4Q418', '4Q379', '2Q1', '4Q267', '4Q51', '6Q17', '4Q80', '4Q57', '4Q71']"
164,P94-Fg008-R-C01-R01-D10062015-T112820-LR445 _PSC,"['4Q18', '4Q51', '4Q531', '4Q543', '4Q51', '4Q57', '4Q364', '4Q27', '4Q77', '4Q238', '4Q254', '4Q381', '4Q27', '4Q543', '4Q206', '4Q216', '4Q23', '4Q552', '4Q454', '4Q76']"
165,P74-Fg055-R-C01-R01-D09082015-T131305-LR445 _PSC,"['11Q6', '4Q27', '11Q18', '4Q402', '4Q18', '4Q536', '4Q58', '4Q87', 'WD28', '1Q5', '11Q13', '4Q401', '4Q508', '4Q521', '2Q1', '4Q23', '4Q381', '4Q51', '4Q552', '4Q57']"
166,P90-Fg028-R-C01-R01-D26042015-T152141-LR445 _PSC,"['11Q17', '4Q83', '4Q34', '4Q381', '4Q287', '4Q38c', '4Q525', '2Q4', '4Q55', '4Q317', '4Q437', '4Q55', '4Q83', '4Q213a', '4Q55', '4Q266', '4Q404', '4Q158', '4Q380', '4Q421']"
167,P72-Fg015-R-C01-R01-D30082015-T112811-LR445 _PSC,"['4Q267', '4Q177', '4Q82', '4Q525', '4Q379', '4Q423', '4Q381', '4Q27', '4Q202', '4Q454', '4Q172', '4Q57', '4Q381', '4Q524', '4Q176', '4Q379', '4Q286', '4Q51', '4Q172', '4Q423']"
168,P43-Fg062-R-C01-R01-D03122015-T131753-LR445 _PSC,"['4Q546', '4Q418', '4Q78', '4Q78', '4Q418', '4Q78', '4Q422', '4Q37', '4Q221', 'MUR1', '4Q418', '4Q55', '4Q78', '4Q260', '4Q418', '4Q210', '4Q418', '4Q208', '4Q56', '4Q491']"
169,P8-Fg035-R-C01-R01-D23062015-T140101-LR445 _PSC,"['4Q502', '4Q224', 'MUR115', '4Q558', '4Q519', '4Q502', '4Q223', '11Q25', '4Q224', '4Q502', '4Q391', '4Q382', 'MUR41', '4Q572', '6Q26', '4Q382', '4Q208', '4Q196', '4Q196', 'MUR48']"
170,P91-Fg061-R-C01-R01-D31032015-T092217-LR445 _PSC,"['4Q299', '4Q418', '4Q37', '4Q56', '4Q16', '4Q418', '4Q418', '4Q422', '4Q78', '4Q260', '4Q380', '4Q546', '4Q55', '4Q334', '4Q208', '4Q78', '4Q78', '4Q78', '4Q418', '4Q221']"
171,P68-Fg075-R-C01-R01-D08102015-T133318-LR445 _PSC,"['4Q525', '4Q554', '4Q299', '4Q299', '4Q51', '4Q299', '4Q570', '4Q55', 'Mas 1l', '4Q521', '2Q4', '4Q216', '4Q83', '4Q38c', '4Q23', '4Q388', '4Q580', '4Q173', '4Q226', '4Q266']"
